proporcion,split,seed,bought_rate
70/15/15,test,246,0.12984364377974167
70/15/15,valid,247,0.1273972602739726
70/15/15,test,247,0.1305732484076433
70/15/15,valid,248,0.12458800263678313
70/15/15,test,248,0.12270714737507907
70/15/15,valid,249,0.1324728260869565
70/15/15,test,249,0.12928759894459102
70/15/15,valid,250,0.12777404169468728
70/15/15,test,250,0.12988734261100066
70/15/15,valid,251,0.12854317732366513
70/15/15,test,251,0.130859375
70/15/15,valid,252,0.12559726962457338
70/15/15,test,252,0.13516976297245356
70/15/15,valid,253,0.13208805870580387
70/15/15,test,253,0.1310935441370224
70/15/15,valid,254,0.13741496598639455
70/15/15,test,254,0.13165075034106413
70/15/15,valid,255,0.13060686015831136
70/15/15,test,255,0.12764505119453926
70/15/15,valid,256,0.12911903160726296
70/15/15,test,256,0.12999322951929587
70/15/15,valid,257,0.13
70/15/15,test,257,0.12425644415069398
70/15/15,valid,258,0.13102511880515955
70/15/15,test,258,0.12450331125827814
70/15/15,valid,259,0.12856196156394964
70/15/15,test,259,0.1301850670070198
70/15/15,valid,260,0.13460231135282122
70/15/15,test,260,0.12755102040816327
70/15/15,valid,261,0.12840984697272123
70/15/15,test,261,0.1353682813536828
70/15/15,valid,262,0.13094417643004824
70/15/15,test,262,0.13184584178498987
70/15/15,valid,263,0.13111413043478262
70/15/15,test,263,0.13501291989664083
70/15/15,valid,264,0.13288590604026845
70/15/15,test,264,0.1279147235176549
70/15/15,valid,265,0.12550066755674233
70/15/15,test,265,0.1338366506520247
70/15/15,valid,266,0.13202437373053486
70/15/15,test,266,0.13452617627567925
70/15/15,valid,267,0.13608666215301288
70/15/15,test,267,0.1291834002677376
70/15/15,valid,268,0.12574061882817644
70/15/15,test,268,0.12982689747003995
70/15/15,valid,269,0.13444816053511705
70/15/15,test,269,0.13066666666666665
70/15/15,valid,270,0.13857428381079281
70/15/15,test,270,0.12813738441215325
70/15/15,valid,271,0.1345646437994723
70/15/15,test,271,0.13071895424836602
70/15/15,valid,272,0.12907608695652173
70/15/15,test,272,0.13037542662116042
70/15/15,valid,273,0.12655737704918033
70/15/15,test,273,0.13465346534653466
70/15/15,valid,274,0.1334231805929919
70/15/15,test,274,0.12884615384615383
70/15/15,valid,275,0.12727272727272726
70/15/15,test,275,0.1364883401920439
70/15/15,valid,276,0.13001383125864455
70/15/15,test,276,0.13606340819022458
70/15/15,valid,277,0.1293888166449935
70/15/15,test,277,0.12075983717774763
70/15/15,valid,278,0.12300531914893617
70/15/15,test,278,0.12548015364916773
70/15/15,valid,279,0.1288384512683578
70/15/15,test,279,0.1313065976714101
70/15/15,valid,280,0.1270053475935829
70/15/15,test,280,0.12246278755074425
70/15/15,valid,281,0.1286472148541114
70/15/15,test,281,0.1313617606602476
70/15/15,valid,282,0.13415468856947296
70/15/15,test,282,0.12266112266112267
70/15/15,valid,283,0.13211249182472204
70/15/15,test,283,0.131458469587966
70/15/15,valid,284,0.13568166992824526
70/15/15,test,284,0.13281799016163034
70/15/15,valid,285,0.13218770654329148
70/15/15,test,285,0.12374581939799331
70/15/15,valid,286,0.12638436482084692
70/15/15,test,286,0.13195876288659794
70/15/15,valid,287,0.12591119946984758
70/15/15,test,287,0.13315400134498992
70/15/15,valid,288,0.1278447121820616
70/15/15,test,288,0.1378614660390047
70/15/15,valid,289,0.12722478576137114
70/15/15,test,289,0.12722478576137114
70/15/15,valid,290,0.13490504256712507
70/15/15,test,290,0.13297150610583447
70/15/15,valid,291,0.1336934503713707
70/15/15,test,291,0.13103904698874919
70/15/15,valid,292,0.13116970926301555
70/15/15,test,292,0.13055181695827725
70/15/15,valid,293,0.13127413127413126
70/15/15,test,293,0.12666666666666668
70/15/15,valid,294,0.13113695090439276
70/15/15,test,294,0.12266666666666666
70/15/15,valid,295,0.12881806108897742
70/15/15,test,295,0.1276872964169381
70/15/15,valid,296,0.1306970509383378
70/15/15,test,296,0.13406292749658003
70/15/15,valid,297,0.12980769230769232
70/15/15,test,297,0.13055003313452618
70/15/15,valid,298,0.13319946452476572
70/15/15,test,298,0.13289473684210526
70/15/15,valid,299,0.13096037609133646
70/15/15,test,299,0.12386511024643321
80/10/10,valid,0,0.12844036697247707
80/10/10,test,0,0.12659470068694798
80/10/10,valid,1,0.1267056530214425
80/10/10,test,1,0.13211186113789777
80/10/10,valid,2,0.13721413721413722
80/10/10,test,2,0.13034410844629823
80/10/10,valid,3,0.13239719157472418
80/10/10,test,3,0.13013013013013014
80/10/10,valid,4,0.12673267326732673
80/10/10,test,4,0.12524850894632206
80/10/10,valid,5,0.13406156901688182
80/10/10,test,5,0.13035204567078973
80/10/10,valid,6,0.12574257425742574
80/10/10,test,6,0.13326551373346898
80/10/10,valid,7,0.13585291113381
80/10/10,test,7,0.1301775147928994
80/10/10,valid,8,0.13380281690140844
80/10/10,test,8,0.13272543059777103
80/10/10,valid,9,0.12216748768472907
80/10/10,test,9,0.13636363636363635
80/10/10,valid,10,0.13994169096209913
80/10/10,test,10,0.13280475718533202
80/10/10,valid,11,0.12942366026289182
80/10/10,test,11,0.13184584178498987
80/10/10,valid,12,0.13617886178861788
80/10/10,test,12,0.13748763600395647
80/10/10,valid,13,0.13372664700098327
80/10/10,test,13,0.13398058252427184
80/10/10,valid,14,0.1309164149043303
80/10/10,test,14,0.12524271844660195
80/10/10,valid,15,0.14015904572564614
80/10/10,test,15,0.13129318854886476
80/10/10,valid,16,0.1342685370741483
80/10/10,test,16,0.13047711781888996
80/10/10,valid,17,0.12649402390438247
80/10/10,test,17,0.14060963618485742
80/10/10,valid,18,0.12909441233140656
80/10/10,test,18,0.1437125748502994
80/10/10,valid,19,0.13394683026584867
80/10/10,test,19,0.13052011776251227
80/10/10,valid,20,0.12855740922473013
80/10/10,test,20,0.1309278350515464
80/10/10,valid,21,0.11701081612586037
80/10/10,test,21,0.13385826771653545
80/10/10,valid,22,0.12611717974180736
80/10/10,test,22,0.126
80/10/10,valid,23,0.12685827552031714
80/10/10,test,23,0.13496932515337423
80/10/10,valid,24,0.1283851554663992
80/10/10,test,24,0.14038657171922686
80/10/10,valid,25,0.12334352701325178
80/10/10,test,25,0.12475247524752475
80/10/10,valid,26,0.12996031746031747
80/10/10,test,26,0.12791878172588833
80/10/10,valid,27,0.12448559670781893
80/10/10,test,27,0.13147410358565736
80/10/10,valid,28,0.1355421686746988
80/10/10,test,28,0.13191076624636275
80/10/10,valid,29,0.12424849699398798
80/10/10,test,29,0.13211382113821138
80/10/10,valid,30,0.13004032258064516
80/10/10,test,30,0.13468992248062014
80/10/10,valid,31,0.134
